,r,reference,method
0x0,0.9921920592006117,Internal,stereoscope
0x1,0.881917933012498,Internal,stereoscope
0x2,0.9991225644382166,Internal,stereoscope
0x3,0.9519533962715383,Internal,stereoscope
0x4,0.9870595023050323,Internal,stereoscope
0x5,0.9978158218780679,Internal,stereoscope
0x6,0.9958645669204536,Internal,stereoscope
0x7,0.9999964765018537,Internal,stereoscope
0x8,1.0,Internal,stereoscope
0x9,0.9976411281083589,Internal,stereoscope
0x10,0.9999947958419395,Internal,stereoscope
0x11,0.9979807810704036,Internal,stereoscope
0x12,0.9993415926770375,Internal,stereoscope
0x13,0.9990613744616159,Internal,stereoscope
0x14,0.9952887930473391,Internal,stereoscope
0x15,0.9992475760880541,Internal,stereoscope
0x16,0.9999875659208364,Internal,stereoscope
0x17,0.9995244789928208,Internal,stereoscope
0x18,0.8905842056925828,Internal,stereoscope
0x19,0.9904878453837975,Internal,stereoscope
0x20,0.9763224062908528,Internal,stereoscope
0x21,0.9693336693782565,Internal,stereoscope
0x22,0.8388777541332832,Internal,stereoscope
0x23,0.9514009946865073,Internal,stereoscope
0x24,0.9488373665816832,Internal,stereoscope
0x25,0.9865610445987756,Internal,stereoscope
0x26,0.5592425892467067,Internal,stereoscope
0x27,0.8355104431252525,Internal,stereoscope
0x28,0.9277519482720902,Internal,stereoscope
0x29,0.9292358355876451,Internal,stereoscope
0x30,0.5256130875972779,Internal,stereoscope
0x31,0.7314362224592129,Internal,stereoscope
0x32,0.9923623319591472,Internal,stereoscope
0x33,0.6499155630304032,Internal,stereoscope
0x34,0.7133335037420543,Internal,stereoscope
0x35,0.9621079797389874,Internal,stereoscope
0x36,0.6795480244726101,Internal,stereoscope
0x37,0.674587321330979,Internal,stereoscope
0x38,-0.4351009867587689,Internal,stereoscope
0x39,0.9132441451855582,Internal,stereoscope
0x40,-0.1787616930149924,Internal,stereoscope
0x41,0.6850930929441248,Internal,stereoscope
0x42,0.9965290639259133,Internal,stereoscope
0x43,-0.7654872732778357,Internal,stereoscope
0x44,0.26186181760602345,Internal,stereoscope
0x45,0.7801353460236712,Internal,stereoscope
0x46,0.8930949839929699,Internal,stereoscope
0x47,0.7975115215160009,Internal,stereoscope
0x48,0.9013277615051507,Internal,stereoscope
0x49,-0.4728705481504256,Internal,stereoscope
1x0,0.9953177868365207,Internal,stereoscope
1x1,0.9943351425881617,Internal,stereoscope
1x2,0.9994927631621222,Internal,stereoscope
1x3,0.9959334038993013,Internal,stereoscope
1x4,0.9999969408474907,Internal,stereoscope
1x5,0.999815006811155,Internal,stereoscope
1x6,0.9999862137691014,Internal,stereoscope
1x7,1.0,Internal,stereoscope
1x8,0.9964222723948826,Internal,stereoscope
1x9,0.9999557893496462,Internal,stereoscope
1x10,0.999351894471901,Internal,stereoscope
1x11,0.9984831548283991,Internal,stereoscope
1x12,0.9554096446277613,Internal,stereoscope
1x13,0.9998523320301252,Internal,stereoscope
1x14,0.9954161995334009,Internal,stereoscope
1x15,0.997894317646379,Internal,stereoscope
1x16,0.9987945796732837,Internal,stereoscope
1x17,0.9999665147240575,Internal,stereoscope
1x18,0.9999917374905902,Internal,stereoscope
1x19,0.996110522443844,Internal,stereoscope
1x20,0.9948482668563735,Internal,stereoscope
1x21,0.6858204582356398,Internal,stereoscope
1x22,0.9588269650302352,Internal,stereoscope
1x23,0.9894934783064424,Internal,stereoscope
1x24,0.9459433883925006,Internal,stereoscope
1x25,0.8992293856188179,Internal,stereoscope
1x26,0.6258051240103234,Internal,stereoscope
1x27,0.9906371302574388,Internal,stereoscope
1x28,0.5779839106969675,Internal,stereoscope
1x29,0.14437958688477537,Internal,stereoscope
1x30,0.9164872688440872,Internal,stereoscope
1x31,0.9209136616044745,Internal,stereoscope
1x32,0.910477330162719,Internal,stereoscope
1x33,0.8355682527724951,Internal,stereoscope
1x34,0.9184785060420407,Internal,stereoscope
1x35,0.995269153497264,Internal,stereoscope
1x36,0.3826054617278342,Internal,stereoscope
1x37,0.7915373627285407,Internal,stereoscope
1x38,0.9319188775266483,Internal,stereoscope
1x39,0.4534187916738963,Internal,stereoscope
1x40,0.8910053512388796,Internal,stereoscope
1x41,0.9992104536048934,Internal,stereoscope
1x42,0.9991496003862533,Internal,stereoscope
1x43,0.9822353554219222,Internal,stereoscope
1x44,0.9288276147698422,Internal,stereoscope
1x45,0.7705657544503277,Internal,stereoscope
1x46,-0.34301022457869773,Internal,stereoscope
1x47,0.9412620338031217,Internal,stereoscope
1x48,-0.3556914021506029,Internal,stereoscope
1x49,0.220521849317062,Internal,stereoscope
2x0,0.9992930047995383,Internal,stereoscope
2x1,0.9999963189778098,Internal,stereoscope
2x2,0.9968074741325194,Internal,stereoscope
2x3,0.9999873050557795,Internal,stereoscope
2x4,0.9946782510235103,Internal,stereoscope
2x5,0.9785809920169755,Internal,stereoscope
2x6,0.9994273086175334,Internal,stereoscope
2x7,1.0,Internal,stereoscope
2x8,0.9999072515730232,Internal,stereoscope
2x9,1.0,Internal,stereoscope
2x10,0.9991536364517478,Internal,stereoscope
2x11,0.9994457660294138,Internal,stereoscope
2x12,1.0,Internal,stereoscope
2x13,1.0,Internal,stereoscope
2x14,0.9999154615212529,Internal,stereoscope
2x15,0.999998011348136,Internal,stereoscope
2x16,0.9998484960295245,Internal,stereoscope
2x17,0.9979710460528745,Internal,stereoscope
2x18,0.9991015714389894,Internal,stereoscope
2x19,0.9112452491799263,Internal,stereoscope
2x20,0.9868430545800462,Internal,stereoscope
2x21,0.9878221785449076,Internal,stereoscope
2x22,0.923611167323523,Internal,stereoscope
2x23,0.9557098873827007,Internal,stereoscope
2x24,0.9956446611653629,Internal,stereoscope
2x25,0.7596261784444858,Internal,stereoscope
2x26,0.9184073073555059,Internal,stereoscope
2x27,0.5203793349099108,Internal,stereoscope
2x28,0.9870745364665021,Internal,stereoscope
2x29,0.7478403958448646,Internal,stereoscope
2x30,-0.40620223442411785,Internal,stereoscope
2x31,0.998920850738235,Internal,stereoscope
2x32,-0.9804480423057684,Internal,stereoscope
2x33,0.8676101094121095,Internal,stereoscope
2x34,0.4008377986763374,Internal,stereoscope
2x35,0.9687969957295326,Internal,stereoscope
2x36,0.9617850470285942,Internal,stereoscope
2x37,-0.8542150911061239,Internal,stereoscope
2x38,0.9291126304747388,Internal,stereoscope
2x39,0.26517424338086526,Internal,stereoscope
2x40,0.9772487144493496,Internal,stereoscope
2x41,0.7071857160012768,Internal,stereoscope
