,cell type,MAPE,MAE,r,KL,reference,method,grp
Cancer,Cancer,26.460206245480233,7.9105432591487705,0.947225903128917,0.23592259058386456,Internal,stsc,stsc_Internal
Ductal,Ductal,16.629913692168806,6.107705357086597,0.9715915800370769,0.05272263010018031,Internal,stsc,stsc_Internal
mDCs,mDCs,40.48244583503487,5.233075812104212,0.8356591266051595,0.14146002343977238,Internal,stsc,stsc_Internal
Monocytes,Monocytes,106.99967854955999,5.375901627393337,0.8041621630455081,0.3831246272443094,Internal,stsc,stsc_Internal
Mast,Mast,47.45953339709357,1.9119336693093574,0.9272364972915943,0.11711916117803126,Internal,stsc,stsc_Internal
Macrophages,Macrophages,44.58868917027699,5.081871990712402,0.8094498221263663,0.22010598963694084,Internal,stsc,stsc_Internal
Cancer,Cancer,45.93653794821489,13.733187384998327,0.8154195812104191,0.5156823566264287,External,stsc,stsc_External
Ductal,Ductal,32.36942466086333,11.888390527250076,0.8978628687837784,0.17519261293546975,External,stsc,stsc_External
mDCs,mDCs,78.52819905313814,10.151165784490157,0.5325252006413735,0.34902805416804933,External,stsc,stsc_External
Monocytes,Monocytes,151.61105301667936,7.6172762170091195,0.5048858708522025,0.6780909489771534,External,stsc,stsc_External
Mast,Mast,54.65080798686055,2.2016381613106697,0.8047041129189235,0.13453249007996626,External,stsc,stsc_External
Macrophages,Macrophages,68.15270000521537,7.767514670038849,0.4993284977874927,0.46880753123442265,External,stsc,stsc_External
Cancer,Cancer,16.197109565876325,4.842287875814387,0.9755930455021232,0.05273925653545319,ReSort,stsc,stsc_ReSort
Ductal,Ductal,13.628536554274728,5.005382905925266,0.9769779119840281,0.032956803212860986,ReSort,stsc,stsc_ReSort
mDCs,mDCs,64.27609778281753,8.308828324611971,0.8707911048534135,0.14921489084101586,ReSort,stsc,stsc_ReSort
Monocytes,Monocytes,72.53945177400306,3.6445432559076334,0.7148575685566413,0.6602658877671179,ReSort,stsc,stsc_ReSort
Mast,Mast,24.57506866354307,0.9900202939267567,0.9469461211019073,0.05726503216236273,ReSort,stsc,stsc_ReSort
Macrophages,Macrophages,61.08221127323158,6.961675357057475,0.7161934941659671,0.44221214761996064,ReSort,stsc,stsc_ReSort
