,KL,reference,method
0x0,0.1072295726591386,Internal,stsc
0x1,1.3112968947127595,Internal,stsc
0x2,0.7402035954483583,Internal,stsc
0x3,1.1056249517779433,Internal,stsc
0x4,0.2548822295206901,Internal,stsc
0x5,0.10662454092212162,Internal,stsc
0x6,0.12873469146567668,Internal,stsc
0x7,0.6380999954301099,Internal,stsc
0x8,-2.7564032320416586e-16,Internal,stsc
0x9,0.014277061446465658,Internal,stsc
0x10,0.5574672570689604,Internal,stsc
0x11,0.0682701043622734,Internal,stsc
0x12,1.3204383336937933,Internal,stsc
0x13,0.00019718458037648915,Internal,stsc
0x14,0.01943997066962459,Internal,stsc
0x15,0.26008657554160153,Internal,stsc
0x16,0.027741090494040586,Internal,stsc
0x17,1.1568023804792031,Internal,stsc
0x18,0.27546630147226936,Internal,stsc
0x19,0.5276777004504576,Internal,stsc
0x20,0.11830471117216426,Internal,stsc
0x21,0.10320343408251406,Internal,stsc
0x22,0.029990347460323277,Internal,stsc
0x23,0.46826426458819836,Internal,stsc
0x24,0.07331218077233286,Internal,stsc
0x25,0.21878681036773867,Internal,stsc
0x26,0.07221631830511224,Internal,stsc
0x27,0.6008616399249402,Internal,stsc
0x28,0.02948130410814699,Internal,stsc
0x29,0.5211859775642336,Internal,stsc
0x30,0.23703208379136548,Internal,stsc
0x31,0.6362641603045366,Internal,stsc
0x32,0.17623987788289397,Internal,stsc
0x33,0.24708006535804905,Internal,stsc
0x34,0.7751757133639179,Internal,stsc
0x35,0.3076398440103186,Internal,stsc
0x36,0.5816949683197841,Internal,stsc
0x37,0.6318888387373801,Internal,stsc
0x38,0.11112834082376606,Internal,stsc
0x39,0.2568027103669658,Internal,stsc
0x40,0.6007600246991812,Internal,stsc
0x41,0.20289002065131206,Internal,stsc
0x42,0.05669165329169691,Internal,stsc
0x43,0.14222594141133818,Internal,stsc
0x44,0.15141802634932894,Internal,stsc
0x45,0.2641311943173728,Internal,stsc
0x46,0.4018478408297941,Internal,stsc
0x47,0.1649479559135078,Internal,stsc
0x48,0.11555325752525428,Internal,stsc
