,r,reference,method
0x0,0.94867764968098,Internal,stsc
0x1,0.549624174820712,Internal,stsc
0x2,0.8981508045190497,Internal,stsc
0x3,0.7404078002181008,Internal,stsc
0x4,0.9233468040831796,Internal,stsc
0x5,0.994513529248142,Internal,stsc
0x6,0.9744995179398737,Internal,stsc
0x7,0.9771426209487277,Internal,stsc
0x8,1.0,Internal,stsc
0x9,0.9978667443326287,Internal,stsc
0x10,0.8862336974348667,Internal,stsc
0x11,0.980017833230946,Internal,stsc
0x12,0.889643551887956,Internal,stsc
0x13,0.9999008136109576,Internal,stsc
0x14,0.9999373561330615,Internal,stsc
0x15,0.9888128703747893,Internal,stsc
0x16,0.9874815807037487,Internal,stsc
0x17,0.36622919237926616,Internal,stsc
0x18,0.9083460716371934,Internal,stsc
0x19,0.9481513139494323,Internal,stsc
0x20,0.971905560066046,Internal,stsc
0x21,0.9699059947373737,Internal,stsc
0x22,0.9580119769482789,Internal,stsc
0x23,0.8588086055431605,Internal,stsc
0x24,0.949646526314669,Internal,stsc
0x25,0.8760180866563037,Internal,stsc
0x26,0.8581425722410171,Internal,stsc
0x27,0.9717972807343238,Internal,stsc
0x28,0.9244770747482498,Internal,stsc
0x29,0.9200629856155699,Internal,stsc
0x30,0.8449086508233852,Internal,stsc
0x31,0.9063069908440441,Internal,stsc
0x32,0.899964119481465,Internal,stsc
0x33,0.9010115231813263,Internal,stsc
0x34,0.7764032301358202,Internal,stsc
0x35,0.8445631536551809,Internal,stsc
0x36,0.9030186494202075,Internal,stsc
0x37,0.7764493803796756,Internal,stsc
0x38,0.6879859885635524,Internal,stsc
0x39,0.9503870673109363,Internal,stsc
0x40,0.173572770257319,Internal,stsc
0x41,0.5423450489673699,Internal,stsc
0x42,0.37322319214886296,Internal,stsc
0x43,0.8755861029563918,Internal,stsc
0x44,0.7038265371566019,Internal,stsc
0x45,0.9512437227245498,Internal,stsc
0x46,0.938629170520927,Internal,stsc
0x47,0.7838747050279954,Internal,stsc
0x48,0.7762559350921839,Internal,stsc
0x49,0.9400210448094222,Internal,stsc
1x0,0.9998429838431331,Internal,stsc
1x1,0.9780297993609559,Internal,stsc
1x2,0.8579992295863359,Internal,stsc
1x3,0.9267423554517256,Internal,stsc
1x4,0.9952349224858696,Internal,stsc
1x5,0.8731776344518846,Internal,stsc
1x6,0.9999999999999999,Internal,stsc
1x7,1.0,Internal,stsc
1x8,0.9584733103077908,Internal,stsc
1x9,0.9994609291871239,Internal,stsc
1x10,0.8774290791662185,Internal,stsc
1x11,0.9908142838719871,Internal,stsc
1x12,0.966768317991495,Internal,stsc
1x13,0.9579871260941221,Internal,stsc
1x14,0.9668606256234753,Internal,stsc
1x15,0.9874999710015433,Internal,stsc
1x16,0.985843960019111,Internal,stsc
1x17,0.8200533133405136,Internal,stsc
1x18,0.963815960856252,Internal,stsc
1x19,0.9108350891373048,Internal,stsc
1x20,0.8719121697166504,Internal,stsc
1x21,0.8550641125562153,Internal,stsc
1x22,0.8694939070587204,Internal,stsc
1x23,0.8355865332703996,Internal,stsc
1x24,0.9212436217447983,Internal,stsc
1x25,0.9560127084609832,Internal,stsc
1x26,0.9865294274924125,Internal,stsc
1x27,0.7594894390811917,Internal,stsc
1x28,0.8306068355640281,Internal,stsc
1x29,0.7178498508928707,Internal,stsc
1x30,0.8195556883762606,Internal,stsc
1x31,0.8431236487501432,Internal,stsc
1x32,0.9727418445175529,Internal,stsc
1x33,0.9558702383955332,Internal,stsc
1x34,0.7356103256559657,Internal,stsc
1x35,0.6900719564884528,Internal,stsc
1x36,0.8127691651593737,Internal,stsc
1x37,0.45141377059250787,Internal,stsc
1x38,0.7062430042600616,Internal,stsc
1x39,0.9482476246292983,Internal,stsc
1x40,0.7943434003033416,Internal,stsc
1x41,0.9634886715689144,Internal,stsc
1x42,0.965135654709617,Internal,stsc
1x43,0.8418591307059071,Internal,stsc
1x44,0.8981302603434546,Internal,stsc
1x45,0.9552238585824513,Internal,stsc
1x46,0.823114113958735,Internal,stsc
1x47,0.8129983175103798,Internal,stsc
1x48,0.8303994045796557,Internal,stsc
1x49,0.48587309471010814,Internal,stsc
2x0,0.990778854828376,Internal,stsc
2x1,0.8581403085031976,Internal,stsc
2x2,0.9786289877675928,Internal,stsc
2x3,1.0,Internal,stsc
2x4,0.9950377680564726,Internal,stsc
2x5,0.9539009021926331,Internal,stsc
2x6,0.9597821124046508,Internal,stsc
2x7,1.0,Internal,stsc
2x8,0.9580112160466937,Internal,stsc
2x9,1.0,Internal,stsc
2x10,1.0,Internal,stsc
2x11,1.0,Internal,stsc
2x12,1.0,Internal,stsc
2x13,0.8261548056167879,Internal,stsc
2x14,1.0,Internal,stsc
2x15,0.9992536583071095,Internal,stsc
2x16,0.8447978155242094,Internal,stsc
2x17,0.9885764104106965,Internal,stsc
2x18,0.9624116320651668,Internal,stsc
2x19,0.8943632231105272,Internal,stsc
2x20,0.9684833518983643,Internal,stsc
2x21,0.8979957820021655,Internal,stsc
2x22,0.8780585242863691,Internal,stsc
2x23,0.9507640137137051,Internal,stsc
2x24,0.9627434558469402,Internal,stsc
2x25,0.9869807845454954,Internal,stsc
2x26,0.8711066080779791,Internal,stsc
2x27,0.9732123974945514,Internal,stsc
2x28,0.7622228971035193,Internal,stsc
2x29,0.8973784591003502,Internal,stsc
2x30,0.7194688527983342,Internal,stsc
2x31,0.9619369269261139,Internal,stsc
2x32,0.8872180825830062,Internal,stsc
2x33,0.8669436062760878,Internal,stsc
2x34,0.7548992348957038,Internal,stsc
2x35,0.7811213135225685,Internal,stsc
2x36,0.8435422992983349,Internal,stsc
2x37,0.6701389413189816,Internal,stsc
2x38,0.8812800288787767,Internal,stsc
2x39,0.8935245855965456,Internal,stsc
2x40,0.7630592438836001,Internal,stsc
2x41,0.828067257687758,Internal,stsc
2x42,0.8310467982142253,Internal,stsc
2x43,0.8974032939995847,Internal,stsc
2x44,0.779750511276196,Internal,stsc
2x45,0.36482257019071956,Internal,stsc
2x46,0.667698421361521,Internal,stsc
2x47,0.2322262051263039,Internal,stsc
2x48,0.7271963303653239,Internal,stsc
2x49,0.7277023995268768,Internal,stsc
3x0,0.9739377514368979,Internal,stsc
3x1,0.9999123350855086,Internal,stsc
3x2,0.992202610065286,Internal,stsc
3x3,0.9998581181094575,Internal,stsc
3x4,1.0,Internal,stsc
3x5,0.9999999999999999,Internal,stsc
3x6,1.0,Internal,stsc
3x7,0.998247936543147,Internal,stsc
3x8,0.6378587411102834,Internal,stsc
3x9,0.9884251971192549,Internal,stsc
3x10,1.0,Internal,stsc
3x11,1.0,Internal,stsc
3x12,0.9834829693595198,Internal,stsc
3x13,0.9999999999999999,Internal,stsc
3x14,0.8199229937730962,Internal,stsc
3x15,1.0,Internal,stsc
3x16,0.9509707852746881,Internal,stsc
3x17,1.0,Internal,stsc
3x18,0.9542073927275223,Internal,stsc
3x19,0.9845755648299441,Internal,stsc
3x20,0.9673922217038005,Internal,stsc
3x21,0.8841987092050532,Internal,stsc
3x22,0.9838646591017272,Internal,stsc
3x23,0.948491771632284,Internal,stsc
3x24,0.9134803740111973,Internal,stsc
3x25,0.9077207345383097,Internal,stsc
3x26,0.9132437180579487,Internal,stsc
3x27,0.9645349100825465,Internal,stsc
3x28,0.8902308586038389,Internal,stsc
3x29,0.9472383998916498,Internal,stsc
3x30,0.8515905363159542,Internal,stsc
3x31,0.9353758133643697,Internal,stsc
3x32,0.9683658281597239,Internal,stsc
3x33,0.9512910269943748,Internal,stsc
3x34,0.77794596047009,Internal,stsc
3x35,0.3310991165678368,Internal,stsc
3x36,0.3501981324558373,Internal,stsc
3x37,0.8100761796001686,Internal,stsc
3x38,0.6856341721729023,Internal,stsc
3x39,0.9141041698454072,Internal,stsc
3x40,-0.257379183701799,Internal,stsc
3x41,0.9334853642737764,Internal,stsc
3x42,0.8344548881653608,Internal,stsc
3x43,0.9023448294291427,Internal,stsc
3x44,0.9140465399126404,Internal,stsc
3x45,0.8049899835919485,Internal,stsc
3x46,0.406120917656389,Internal,stsc
3x47,0.437682248729342,Internal,stsc
3x48,0.8242454977917554,Internal,stsc
3x49,0.7678023128968443,Internal,stsc
4x0,0.9897782669871886,Internal,stsc
4x1,0.9320506779728285,Internal,stsc
4x2,0.9292100444860101,Internal,stsc
4x3,0.9897782665583897,Internal,stsc
4x4,1.0,Internal,stsc
4x5,0.9999999999999999,Internal,stsc
4x6,1.0,Internal,stsc
4x7,1.0,Internal,stsc
4x8,1.0,Internal,stsc
4x9,1.0,Internal,stsc
4x10,1.0,Internal,stsc
4x11,0.9999999999999999,Internal,stsc
4x12,1.0,Internal,stsc
4x13,0.999790103638421,Internal,stsc
4x14,1.0,Internal,stsc
4x15,0.9994225700144617,Internal,stsc
4x16,1.0,Internal,stsc
4x17,0.9666584330071921,Internal,stsc
4x18,0.965535204258299,Internal,stsc
4x19,0.9410467048895832,Internal,stsc
4x20,0.9921292935416015,Internal,stsc
4x21,0.970190170817985,Internal,stsc
4x22,0.9786760333966844,Internal,stsc
4x23,0.9874151418938624,Internal,stsc
4x24,0.8956256059478468,Internal,stsc
4x25,0.8035146711852251,Internal,stsc
4x26,0.925196776608749,Internal,stsc
4x27,0.7141342623173362,Internal,stsc
4x28,0.9608136187439882,Internal,stsc
4x29,0.9254050036952695,Internal,stsc
4x30,0.7252891328362305,Internal,stsc
4x31,0.403767384906554,Internal,stsc
4x32,0.6865692896221093,Internal,stsc
4x33,0.9164018500943238,Internal,stsc
4x34,0.8036606588308138,Internal,stsc
4x35,0.9300895813025909,Internal,stsc
4x36,0.9693007909822294,Internal,stsc
4x37,0.17689199811802098,Internal,stsc
4x38,0.5931400390687294,Internal,stsc
4x39,0.8066961095760947,Internal,stsc
4x40,0.908939314014825,Internal,stsc
4x41,0.7985756958731406,Internal,stsc
4x42,0.7398881692231286,Internal,stsc
4x43,0.8220661410569277,Internal,stsc
4x44,0.8435079159026808,Internal,stsc
4x45,0.8251998716141841,Internal,stsc
4x46,0.9231355266385894,Internal,stsc
4x47,0.8107886089220399,Internal,stsc
